,III.L,ADM.L,AAL.L,ANTO.L,AHT.L,ABF.L,AZN.L,AV.L,BA.L,BARC.L,BDEV.L,BEZ.L,BKG.L,BP.L,BATS.L,BLND.L,BT-A.L,BNZL.L,CNA.L,CPG.L,CRDA.L,DCC.L,DGE.L,DPLM.L,EZJ.L,ENT.L,EXPN.L,FCIT.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HLMA.L,HL.L,HIK.L,HSX.L,HWDN.L,HSBA.L,IHG.L,IMI.L,IMB.L,INF.L,IAG.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LMP.L,LSEG.L,MKS.L,MRO.L,MNDI.L,NG.L,NWG.L,NXT.L,PSON.L,PSN.L,PHNX.L,PRU.L,RKT.L,REL.L,RTO.L,RMV.L,RIO.L,RR.L,SGE.L,SBRY.L,SDR.L,SMT.L,SGRO.L,SVT.L,SHEL.L,SN.L,SMDS.L,SMIN.L,SPX.L,SSE.L,STAN.L,TW.L,TSCO.L,ULVR.L,UU.L,UTG.L,VTY.L,VOD.L,WEIR.L,WTB.L,WPP.L
III.L,1.0,0.22093966491334566,0.4069632517620664,0.340958891932051,0.17593664334616874,0.2655939940637349,0.2450697243334488,0.4100749084941193,0.26343193705925033,0.3858442835085765,0.1930776030491585,0.21563270534773066,0.2249815458873626,0.3066815853418479,0.1799748413421551,0.3867641016646998,0.3141298782220648,0.29543814544522723,0.2130900936107347,0.30994526281844986,0.2974886476769179,0.06381924811451711,0.257572202841492,0.12644277034102056,0.24192911819842802,0.051698451144781235,0.37926676548713256,0.42648293665496917,-0.014171458609247933,0.28840081714519916,0.726457200456372,0.21662402895020932,0.2657405269438423,0.26611347002650815,0.18641061594932162,0.16140967950837903,0.2332411253704347,0.38906920884599516,0.34196841758788227,0.3514647194532904,0.18725542141844229,0.2979693147991786,0.3742487845334581,0.2781009251474651,0.10620747446140291,0.3432085812550939,0.40004341602418886,0.40927655973681404,0.32024011575729183,0.10044369372478289,0.3211645108041782,0.2961344144099744,0.15196922730227874,0.3400217317662766,0.1296876803485287,0.32483689276955524,0.33726950392521693,0.3424474593559734,0.3156697187426621,0.1430189820810132,0.44826873787906024,0.17511814446958832,0.29691704258983703,0.28902116434367076,0.23619146409228073,0.36627701138110286,0.3834770948407081,0.30501373909258883,0.29107994993318276,0.4158299345589463,0.45175157076955935,0.32501871913748615,0.17392593086661406,0.23179100533967958,0.2289490538381922,0.23150197546650525,0.31640027883459526,0.23203435031754982,0.20825753409396003,0.39724223850369295,0.26096132989185206,0.27939304525513137,0.24713970994127635,0.22132773385436352,0.25382349927016995,0.28603372987138714,0.2896869871285298,0.3773503817601004,0.32326964722041607,0.38161108936471566
ADM.L,0.22093966491334566,1.0,0.342579527687245,0.3246306141952962,0.23259004769738748,0.3589496003492191,0.24309695583816623,0.399042864697356,0.26620297847498775,0.29765247428107827,0.20658069732497808,0.2657449333435092,0.2166120504662597,0.3043282432810223,0.28480784507063905,0.3110633093343314,0.23050347603903326,0.34997600359585807,0.2399795426984847,0.2831527435758215,0.25280773433378917,0.21850370415480833,0.322810192499054,0.07664258404491324,0.27184415477322543,0.05471330400730705,0.3348790842680162,0.390170463152518,-0.01767467032180237,0.25625301256670896,0.2865832895580963,0.2535206962561167,0.3216672452596088,0.2805240911921336,0.15432289774190278,0.2625955046307858,0.21707890599535482,0.3319036294118682,0.33306347858049135,0.26490450723460646,0.2888485294780604,0.35429891295855653,0.2940092013666147,0.325679046424931,0.09387788849672207,0.3661130236855271,0.3219227287730026,0.342150379491414,0.2969764053923954,0.08611202285568853,0.296127571739294,0.29277901287818725,0.17683347982432987,0.2528417561217832,0.20898332703333422,0.23207206251687854,0.31446269900690615,0.3206703918535219,0.3013773305832512,0.09982618270841849,0.3743522186169571,0.2785558252428825,0.3081907757187227,0.2613015896724068,0.28779494482542967,0.32060159760712764,0.3790057506599171,0.3653507849024451,0.28614258242072754,0.3837765246086546,0.3429278233907631,0.27227471353791877,0.22534325841271297,0.25933363392403086,0.2842078798689003,0.2907130936845149,0.2674135968176004,0.30371494042359903,0.24815849895019795,0.38679970692238314,0.25601915652873247,0.3152385976189812,0.2655942135421996,0.27668821326224674,0.1898977147408208,0.29181353913205915,0.34039770346372017,0.29416880283693125,0.31469272901103457,0.34195604047324707
AAL.L,0.4069632517620664,0.342579527687245,1.0,0.7273971033087094,0.20269191334951397,0.32314700263031076,0.28802146804322526,0.5036771437488827,0.36201614962077916,0.4366066377965338,0.2309840175241997,0.2895425232564219,0.3023478814217901,0.5088828102102142,0.2653757068935472,0.4293869777721259,0.36120910412611834,0.44153328125103625,0.30320598757767847,0.4100379070503794,0.38771481041243727,0.08341448029508135,0.3891712436883888,0.12679064632741996,0.2824281923815247,0.07840819050389417,0.4986509767237607,0.5582567311910238,0.02903650501878931,0.567584051353109,0.7539811539429682,0.2767534706385373,0.38908900077515735,0.36979934499361655,0.24149921217617465,0.21196154029880446,0.2761621863443133,0.5125641263767484,0.4688153952837634,0.4391687157816518,0.2293889391366521,0.3624002808959272,0.46100056636633946,0.4164997276036142,0.09252061236371581,0.43926836818534637,0.4474739689860657,0.48567121767809635,0.3645377841645623,0.10472210025719854,0.39763457354134685,0.33563587572118586,0.17066936227413398,0.4943895969931302,0.19198133323933866,0.3532131945811127,0.433785377180081,0.40957344063010054,0.35845606042734146,0.23712082892330477,0.5295964056151403,0.27559603165672114,0.3963310492320148,0.35808892392964775,0.3174534495444828,0.7637447089014645,0.4988781023743242,0.3941036352058209,0.329707017154057,0.5239169886204184,0.6074086264944385,0.3860076877159119,0.2763574555322829,0.42350118736251796,0.3028755249404784,0.3123046141078674,0.4513629382423041,0.32549445153017337,0.3425334003752644,0.5552194472201146,0.2825260153528898,0.3116732514512215,0.325058991603964,0.35247493372556393,0.2934018796956783,0.30334463198474515,0.3709545922158472,0.5192505513279407,0.44403322617590435,0.5192692907329507
ANTO.L,0.340958891932051,0.3246306141952962,0.7273971033087094,1.0,0.19928245356473537,0.2737357224292852,0.2018059877697962,0.410486879523267,0.28000900339016466,0.36782506279999194,0.24156987040443673,0.3068562994238517,0.28255097070370083,0.430441466434736,0.2198807733555293,0.373076844887077,0.2761201468489753,0.35017578276140043,0.2245723107918561,0.3146386139959842,0.3712877673510787,0.08186828955154991,0.2985628190755316,0.14005575495188452,0.22440643403061994,0.05443211938485091,0.4514495559096122,0.4771447782716205,0.03132014561247087,0.5592648670269327,0.7014311337222007,0.16298448988705125,0.3631203372058531,0.38786623203822257,0.22131820393359466,0.23976859983667254,0.25464231512657565,0.40578549737410036,0.4280649485737207,0.40612395898698345,0.21771965695275505,0.31483375495510657,0.3805137353340272,0.37907588168656375,0.11589600978186292,0.3764471798761371,0.3805437158620742,0.39446129819805165,0.3052927745893318,0.1095332603470738,0.3575914298480661,0.30685222548916463,0.16314158934493336,0.46798767227677784,0.1424134127916046,0.3189073265170339,0.39340430951505884,0.2896266863458134,0.34469997736927277,0.22831648501821844,0.4326600225101257,0.22113711937130157,0.2906767679685647,0.30424009024966997,0.28299009212318754,0.7159743370606991,0.39684248053878957,0.3015069409910861,0.26545189741268715,0.4151111469001859,0.4966447346279531,0.3416669021185614,0.2099115631244289,0.3896074072663404,0.23983963615079082,0.27501487280275466,0.3724037837385362,0.3060169023031294,0.2705967781212763,0.4456602947430125,0.3029796615159554,0.2313400177688126,0.2580804129455673,0.2629330185852942,0.23597410386944304,0.3032284891776984,0.2569344041290964,0.4855091715436728,0.38678173238053787,0.4066332110221967
AHT.L,0.17593664334616874,0.23259004769738748,0.20269191334951397,0.19928245356473537,1.0,0.10545387035915885,0.12135515424735419,0.1724090688741464,0.11815992304662284,0.1927712452163648,0.2009498646976467,0.17805541092297944,0.17776700467761952,0.136744812200086,0.045557415579619474,0.18736082505287838,0.09333315319168063,0.1729271799322069,0.08672064215828482,0.15280410548453335,0.19789284141528973,0.07417551175251873,0.11311056911065431,0.08862385870930849,0.17179974606701767,0.0718125276873523,0.3365123395337421,0.23052654180422635,0.009736550463859744,0.26053473671414357,0.5890159700466285,0.10012065778411582,0.20243661173656732,0.3514961319013195,0.21353610319943203,0.1440762445177381,0.17023054555072278,0.1920318891970172,0.326519445930193,0.24987628011275534,0.033690666880169334,0.18133445154248148,0.25383383326516484,0.21021168747318256,0.06650842385147122,0.16466814949018707,0.21242485537566938,0.18492341414313537,0.13150980294181597,0.1783810877478744,0.17546740907891156,0.149065460345403,0.1459117923887547,0.3799936243174265,0.031345612162783476,0.1678817673884392,0.1751579650643652,0.21883555014133715,0.25456985249702896,0.21210056083330783,0.18949231894511132,0.0676129144849293,0.1628408397906849,0.18429835809717252,0.25275735886852113,0.24217920950630847,0.21380024927339455,0.10616173148284742,0.1103209509851215,0.19798922397939625,0.24451261859023837,0.1978194379107768,0.064208556435977,0.1255419293863174,0.11608983903226318,0.19698879098498345,0.13331652360840035,0.16030867649799088,0.10257217330713818,0.20389598285280128,0.21737527548971067,0.09546555815471006,0.11202525221831876,0.07769772537042556,0.20736990982612089,0.22491144453639866,0.12097792432272679,0.2576677497536827,0.21114371176460375,0.23671430873831234
ABF.L,0.2655939940637349,0.3589496003492191,0.32314700263031076,0.2737357224292852,0.10545387035915885,1.0,0.344998876251145,0.3567425753843906,0.3131971781739613,0.31811069617999993,0.17782848884993357,0.25832873291773295,0.26448586752631814,0.35304219324587854,0.37406350984424735,0.35198441965975485,0.3238243228312348,0.3712925945517722,0.3627120784846624,0.3561640455686008,0.25556168893791154,0.06318145862022471,0.4675894403864706,0.11247330554337347,0.2402173898192266,0.06345850333841564,0.4236356940447173,0.3856870526115593,0.0035736942296039514,0.2763371384362341,0.5128170742568491,0.35429746948683705,0.25190042119728956,0.32373520705770975,0.20925484869157024,0.17681215228654054,0.22983982353901952,0.35723660026587784,0.3592223028729097,0.2818318720626057,0.3752106080348893,0.21520624014126635,0.37952739496543936,0.3155398601054395,0.09333448866332773,0.4237549741203436,0.3469634365035583,0.31420504618175105,0.2761254759553287,0.09194714523143215,0.2663697784153485,0.34018561139487097,0.11097436382143862,0.31403772535172975,0.2372948387373853,0.2304977924488927,0.375569686307285,0.35901961197358845,0.25122853876463835,0.12010102188480763,0.3608719006166074,0.4128905148846505,0.366971182425543,0.30178581553449424,0.26608999615108486,0.3010053264126136,0.3744252831039739,0.33396231799348414,0.4156835690773255,0.3856321467522563,0.3897081519365087,0.25615646121136904,0.32633440087821264,0.2714781953827354,0.3230985972449264,0.2070385363743023,0.3207550559199767,0.2490608847793476,0.3660817599542837,0.3429476517075522,0.2430693534386471,0.4273058890619978,0.4912603449600226,0.42247187562305916,0.19617241156907564,0.26654684572676124,0.35619237987156466,0.27537044443023756,0.37458199249814694,0.3705726830713198
AZN.L,0.2450697243334488,0.24309695583816623,0.28802146804322526,0.2018059877697962,0.12135515424735419,0.344998876251145,1.0,0.35815694366509093,0.30152951162134306,0.3181237156154247,0.10497372803680767,0.17319504716376233,0.15590395220580006,0.37700950838106473,0.3293576847964792,0.27645598183196646,0.3307893221685035,0.33338142852035507,0.32619991029473216,0.3453937306962681,0.19366491839554337,0.042401496789965,0.4044409464782237,0.09932321943583018,0.1898554618901996,0.016599727046854848,0.34211992826053017,0.4113516413165296,0.005097766969192791,0.16500646172866942,0.6998551966494834,0.6248190624521615,0.2269881298240485,0.26707552450259536,0.22771150076598845,0.1282533144017197,0.1724154857452571,0.3477214047144009,0.27037190197225947,0.25523818622064387,0.317989050138552,0.18757131345114883,0.35915262769135065,0.22532919556270628,0.0790189958569969,0.3136677859703333,0.2838305641359143,0.3174477773993092,0.2611831260106041,0.07989918228509282,0.21819174214761877,0.2358127590840754,0.08396744362836636,0.27552290221419184,0.231922438438324,0.19081246060991544,0.2739459051011848,0.3740845935106663,0.17203628475259675,0.21468067511108407,0.3344538565378168,0.3366105223477284,0.38814456051876206,0.2585509922847996,0.15456529516509673,0.27850005502577707,0.3382023914798736,0.28942570707983917,0.32373670654969267,0.36275477063645695,0.40302975760553006,0.19939012662679037,0.30042148722947865,0.2615138467327438,0.3654686355690225,0.17066090995824032,0.31483914740909263,0.1633095291751183,0.3295300918648624,0.28931326955353304,0.13476773812712153,0.3600078908008305,0.369291902009011,0.3457098073356639,0.17692486986740433,0.17598901409825282,0.36807488176490816,0.19684367116677945,0.26184616203991545,0.37530174849270753
AV.L,0.4100749084941193,0.399042864697356,0.5036771437488827,0.410486879523267,0.1724090688741464,0.3567425753843906,0.35815694366509093,1.0,0.3454949439129639,0.6139531558391926,0.23899480899839548,0.36038790774719326,0.2984835873559623,0.4265430339359019,0.22969461976656325,0.4548711292543563,0.41186398233957944,0.3682120958517533,0.29007679523408486,0.38382967188313505,0.31278880250500435,0.04393377589315031,0.40115087233359886,0.16407896618547008,0.3222059234992964,0.052363686311575064,0.4474892318039785,0.4919315440218908,0.023961042013509775,0.38039630620682024,0.652206301908845,0.3360086301176377,0.3488666982750268,0.37424436320576937,0.24297291883113237,0.2109484142301844,0.3062340578697405,0.5746849493366196,0.47501651019899144,0.4116846604029517,0.2525729979970717,0.34331111386338686,0.47160735523380487,0.35882513559736207,0.11481056825865456,0.47090545354222785,0.5080031738474564,0.7047219279818143,0.5389335733531812,0.11238672081336237,0.38817669117845205,0.3658786133123804,0.19862830461790992,0.4850513477015738,0.17841297516495278,0.46639698203415747,0.4256711268525419,0.4383257425426605,0.4001676537232093,0.20574386392701005,0.7217387677255274,0.259129432948808,0.4060702108585433,0.3534417265561334,0.28998957127630526,0.43074985064237165,0.47126306943895246,0.4122048827664528,0.36552841987569673,0.5172835559859686,0.5531110523071707,0.3987083964420458,0.26707473257363634,0.3069775434863975,0.2900750376203272,0.2681348467866377,0.4100513823291537,0.2709220856554204,0.2796782711055424,0.550935671168972,0.29076547370398925,0.3419701174632277,0.32494259041395346,0.3438288230420212,0.2936323331789654,0.376973084509363,0.41313199165485237,0.43307419164293404,0.4249876557278917,0.4984832703705572
BA.L,0.26343193705925033,0.26620297847498775,0.36201614962077916,0.28000900339016466,0.11815992304662284,0.3131971781739613,0.30152951162134306,0.3454949439129639,1.0,0.270631120317523,0.11548451044677445,0.24171844300138365,0.22116490587461923,0.3265345327620559,0.24538335506347178,0.2596497789687934,0.27949099315320647,0.32006834339291773,0.251520238705061,0.3283508234947522,0.24685880404911562,0.0355351575175086,0.3317654343693392,0.099848608809673,0.2043582785370648,0.051374565857814934,0.42582584070607205,0.3727001818464339,0.0042521861574619626,0.28855299450876687,0.6794672180631569,0.28606883902498476,0.26173589963392385,0.3282380367698526,0.24008680749568442,0.14928059431391993,0.1789106167529585,0.3292071072898105,0.3424709598892134,0.24894035009198898,0.24419681622191233,0.21891619697681944,0.3800359582284973,0.26419968526996385,0.06514319297683865,0.3026682765924941,0.27560588905440914,0.3097102334357592,0.2322844480440207,0.13232496276408182,0.21526028336910555,0.2392155121931824,0.14910900362379642,0.27810777075534965,0.18344367382039548,0.2006655090692555,0.25408588072203886,0.3447242243160394,0.22510564242653022,0.1568649093354356,0.36721971888508914,0.2580525258352834,0.36166628315024396,0.22567911764926285,0.17482579202024298,0.3231741138050813,0.5160634722173522,0.3083168307950135,0.2709431900702649,0.3599554918055929,0.3838343921018155,0.2129137260712757,0.23736276619281868,0.2659700619846098,0.2270715713439202,0.15312173672808277,0.3874036349959521,0.19555809554080966,0.30116885112767017,0.3247042879813417,0.181720452119016,0.29391805985856967,0.3161325683045091,0.30945765298856803,0.13727866204472813,0.2238303037423757,0.324401685332665,0.2718493998428393,0.28780594414767585,0.3774117103652399
BARC.L,0.3858442835085765,0.29765247428107827,0.4366066377965338,0.36782506279999194,0.1927712452163648,0.31811069617999993,0.3181237156154247,0.6139531558391926,0.270631120317523,1.0,0.2281344593137223,0.30203335494737954,0.2991262948975928,0.3794544709536508,0.22548534222431377,0.48602790571810356,0.3811756582876962,0.33912758334585,0.28113919012091915,0.3424420876511638,0.3011366638540924,0.08364423391503882,0.351134641125888,0.16291039474750368,0.31396841610051085,0.025534015714156758,0.4061573410463109,0.4789305345305393,0.03632353492432439,0.2972762395616073,0.628143270044757,0.3042664325960642,0.2848885389223903,0.3265143544645301,0.2005160915725129,0.17634777549908648,0.2638992638264278,0.6167767263788401,0.4247140258702599,0.39244792929456707,0.21143071491243143,0.3027460310305802,0.4181961021672919,0.27924963706398453,0.1372163268583584,0.4224880719997877,0.5084419288480819,0.5783431868566469,0.6561047134902206,0.13238227978464842,0.39914288039395224,0.36246818053058816,0.18373236142055852,0.4375716480112549,0.1713879454666167,0.5988541005806968,0.4151234455771794,0.38093930442626384,0.37333044765507406,0.19342766822243881,0.5590416817942894,0.2080103036765597,0.34794574212877144,0.35335552495660855,0.2638051639443199,0.3911402330658723,0.41131647321434955,0.3295915268247741,0.3285738944005178,0.47379951910451445,0.5036021568512492,0.38820056840785794,0.22530213783335962,0.2886472038298548,0.25705801623948776,0.27156143071296346,0.35094742524338035,0.2503985751482953,0.23591958156539244,0.5403912847367969,0.2890081965763268,0.3032258434899564,0.27471967832190664,0.2945453314757685,0.2655200479663883,0.35931218245398494,0.36009680897968027,0.3853736842279512,0.3991574234420023,0.44137340061776054
