Ticker,ShortName,Sector_x,Country_x,Region,AverageRating
AAUK,Anglo Amern plc,Basic Materials,United Kingdom,Europe,14
ABE,Abertis Infraestructuras SA,Industrials,Spain,Europe,9
ABHLTD,Alliance Boots Hldgs Ltd,Consumer Services,United Kingdom,Europe,10
ACAFP,Cr Agricole SA,Financials,France,Europe,5
ACAFP-CIB,Cr Agricole Corporate and Invt Bk,Financials,France,Europe,10
ACCOR,ACCOR,Consumer Services,France,Europe,10
ACEA,Acea Spa,Utilities,Italy,Europe,10
ADIG,adidas AG,Consumer Goods,Germany,Europe,7
AEGON,Aegon N.V.,Financials,Netherlands,Europe,10
AF,AIR FRANCE - KLM,Consumer Services,France,Europe,15
AF-AirFrance,SOCIETE AIR FRANCE,Consumer Services,France,Europe,17
AGASSA,ageas SA NV,Financials,Belgium,Europe,6
AGS,AGBAR,Utilities,Spain,Europe,10
AGS-Intl,Agbar Intl BV,Utilities,Netherlands,Europe,10
AIRLIQ,L AIR LIQUIDE SA POUR LTDE EXPLTN PROCDS GEORGS CLDE,Basic Materials,France,Europe,10
AKZO,AKZO Nobel N V,Basic Materials,Netherlands,Europe,9
AKZO-ICILD,IMPERIAL Chem Inds Ltd,Basic Materials,United Kingdom,Europe,10
ALCLCT,Alcatel Lucent,Technology,France,Europe,10
ALINDR,Alliander NV,Utilities,Netherlands,Europe,3
ALPHBK,ALPHA Bk AE,Financials,Greece,Europe,10
ALSTOM,ALSTOM,Industrials,France,Europe,10
ALT,ALTADIS SA,Consumer Goods,Spain,Europe,10
ALYD,ALLIED DOMECQ LTD,Consumer Goods,United Kingdom,Europe,10
ALZSE,Allianz SE,Financials,Germany,Europe,3
AMROBK,ABN AMRO Bk NV,Financials,Netherlands,Europe,5
ANGLIA,Nationwide Bldg Soc,Financials,United Kingdom,Europe,6
ARMLL,ArcelorMittal,Basic Materials,Luxembourg,Europe,9
ARMLL-FRA,ARCELORMITTAL FRANCE,Basic Materials,France,Europe,17
ARMLL-Fin,ArcelorMittal Fin,Basic Materials,Luxembourg,Europe,9
ASSAAB,ASSA ABLOY AB,Industrials,Sweden,Europe,8
ASSGEN,Assicurazioni Generali S p A,Financials,Italy,Europe,10
ATCOA,Atlas Copco AB,Industrials,Sweden,Europe,7
ATSPA,ATLANTIA SPA,Industrials,Italy,Europe,10
AUST,Rep Austria,Government,Austria,Europe,10
AVLN,Aviva plc,Financials,United Kingdom,Europe,7
AWLN-AngWatServ,Anglian Wtr Svcs Ltd,Utilities,United Kingdom,Europe,10
AXAF,AXA,Financials,France,Europe,10
AYLL,SAFEWAY LTD,Consumer Services,United Kingdom,Europe,10
AZN,Astrazeneca PLC,Health Care,United Kingdom,Europe,7
BAB,Brit Awys plc,Consumer Services,United Kingdom,Europe,9
BACR-Bank,Barclays Bk plc,Financials,United Kingdom,Europe,7
BACRED,Mediobanca SpA,Financials,Italy,Europe,10
BAD,EnBW Energie Baden Wuerttemberg AG,Utilities,Germany,Europe,7
BANSAB,Bco de Sabadell S A,Financials,Spain,Europe,10
BAPLC,BAE Sys PLC,Industrials,United Kingdom,Europe,17
BASFSE,BASF SE,Basic Materials,Germany,Europe,6
BATSLN,Brit Amern Tob plc,Consumer Goods,United Kingdom,Europe,10
BBVSM,Bco Bilbao Vizcaya Argentaria S A,Financials,Spain,Europe,7
BCPN,Bco Comercial Portugues SA,Financials,Portugal,Europe,10
BELG,Kdom Belgium,Government,Belgium,Europe,13
BFCM,Bqe Federative Du Cr Mutuel,Financials,France,Europe,6
BKIR,Gov & Co Bk Irlnd,Financials,Ireland,Europe,10
BKTSM,Bankinter S A,Financials,Spain,Europe,8
BMW,Bay Motoren Werke AG,Consumer Goods,Germany,Europe,6
BNCBPI,Bco BPI SA,Financials,Portugal,Europe,8
BNP,BNP Paribas,Financials,France,Europe,5
BOCGP,BOC GROUP Ltd,Basic Materials,United Kingdom,Europe,17
BOUY,BOUYGUES,Industrials,France,Europe,8
BPBL,BPB Ltd,Industrials,United Kingdom,Europe,7
BPLN,BP P.L.C.,Oil & Gas,United Kingdom,Europe,10
BRISA,Brisa Auto Estradas de Portugal S A,Industrials,Portugal,Europe,17
BRITEL-BritTel,Brit Telecom PLC,Telecommunications,United Kingdom,Europe,1
BRITLD,Brit Ld Co plc,Financials,United Kingdom,Europe,10
BRYBDC,Carlsberg A S,Consumer Goods,Denmark,Europe,10
BRYBDC-Brew,Carlsberg Breweries A S,Consumer Goods,Denmark,Europe,1
BSFSHW,BASF Schweiz AG,Basic Materials,Switzerland,Europe,10
BWGPSK,BAWAG P.S.K,Financials,Austria,Europe,10
BYIF,Bayer AG,Health Care,Germany,Europe,7
BYLAN,Bay Landbk Giroz,Financials,Germany,Europe,10
CAJAME,Caja de Ahorros del Mediterraneo,Financials,Spain,Europe,10
CARR,Carrefour,Consumer Services,France,Europe,7
CAWILD,CABLE WIRELESS LTD,Telecommunications,United Kingdom,Europe,10
CCBP-NATIXI,NATIXIS,Financials,France,Europe,6
CCLL,Carnival Plc,Consumer Services,United Kingdom,Europe,10
CENTRI,Centrica plc,Utilities,United Kingdom,Europe,9
CIRINT,CIR SpA CIE Industriali Riunite,Utilities,Italy,Europe,17
CLAR,Clariant AG,Basic Materials,Switzerland,Europe,10
CMFP,Ciments Francais,Industrials,France,Europe,17
CMZB,Commerzbank AG,Financials,Germany,Europe,10
CONTI,Contl AG,Consumer Goods,Germany,Europe,10
CPGLN,Compass Gp PLC,Consumer Services,United Kingdom,Europe,7
CSGAG,Credit Suisse Gp Ltd,Financials,Switzerland,Europe,10
CTSGL,COLT Tech SERVICES GROUP Ltd,Telecommunications,United Kingdom,Europe,10
CXGD,Caixa Geral de Depositos S A,Financials,Portugal,Europe,8
CYPRUS,Rep Cyprus,Government,Cyprus,Europe,10
