Ticker,Sector
III.L,Financials
AAL.L,Basic Materials
ANTO.L,Basic Materials
AHT.L,Industrials
ABF.L,Consumer Staples
AZN.L,Health Care
AV.L,Financials
BA.L,Industrials
BARC.L,Financials
BATS.L,Consumer Staples
BLND.L,Real Estate
BP.L,Energy
BT.L,Telecommunications
CCH.L,Consumer Staples
CNA.L,Utilities
CRDA.L,Basic Materials
DGE.L,Consumer Staples
EVR.L,Basic Materials
EXPN.L,Industrials
FRES.L,Basic Materials
GSK.L,Health Care
GLEN.L,Basic Materials
HL.L,Financials
HSBA.L,Financials
IAG.L,Consumer Services
IMB.L,Consumer Staples
INF.L,Consumer Services
ITV.L,Consumer Services
JMAT.L,Basic Materials
KGF.L,Consumer Services
LAND.L,Real Estate
LGEN.L,Financials
LLOY.L,Financials
MNDI.L,Basic Materials
MNG.L,Financials
MRO.L,Industrials
NG.L,Utilities
NWG.L,Financials
NXT.L,Consumer Discretionary
OCDO.L,Consumer Services
PSON.L,Consumer Services
PSN.L,Consumer Discretionary
PRU.L,Financials
RB.L,Consumer Staples
REL.L,Industrials
RIO.L,Basic Materials
RR.L,Industrials
RTO.L,Industrials
SBRY.L,Consumer Services
SDR.L,Financials
SGRO.L,Real Estate
SHEL.L,Energy
SGE.L,Technology
SKG.L,Basic Materials
SMDS.L,Industrials
SMIN.L,Industrials
SN.L,Health Care
SSE.L,Utilities
STAN.L,Financials
STJ.L,Financials
SVT.L,Utilities
TSCO.L,Consumer Staples
TW.L,Consumer Discretionary
ULVR.L,Consumer Staples
UU.L,Utilities
VOD.L,Telecommunications
WPP.L,Consumer Services
WTB.L,Consumer Services
