Ticker,ShortName,Sector,Region,Country,AverageRating
AAUK,Anglo Amern plc,Basic Materials,Europe,United Kingdom,Highly Speculative
ABE,Abertis Infraestructuras SA,Industrials,Europe,Spain,Lower Medium Grade
ABHLTD,Alliance Boots Hldgs Ltd,Consumer Services,Europe,United Kingdom,Lower Medium Grade
ACAFP,Cr Agricole SA,Financials,Europe,France,Upper Medium Grade
ACAFP-CIB,Cr Agricole Corporate and Invt Bk,Financials,Europe,France,Lower Medium Grade
ACCOR,ACCOR,Consumer Services,Europe,France,Lower Medium Grade
ACEA,Acea Spa,Utilities,Europe,Italy,Lower Medium Grade
ADIG,adidas AG,Consumer Goods,Europe,Germany,Upper Medium Grade
AEGON,Aegon N.V.,Financials,Europe,Netherlands,Lower Medium Grade
AF,AIR FRANCE - KLM,Consumer Services,Europe,France,Highly Speculative
AF-AirFrance,SOCIETE AIR FRANCE,Consumer Services,Europe,France,Extremely Speculative
AGASSA,ageas SA NV,Financials,Europe,Belgium,Upper Medium Grade
AGS,AGBAR,Utilities,Europe,Spain,Lower Medium Grade
AGS-Intl,Agbar Intl BV,Utilities,Europe,Netherlands,Lower Medium Grade
AIRLIQ,L AIR LIQUIDE SA POUR LTDE EXPLTN PROCDS GEORGS CLDE,Basic Materials,Europe,France,Lower Medium Grade
AKZO,AKZO Nobel N V,Basic Materials,Europe,Netherlands,Lower Medium Grade
AKZO-ICILD,IMPERIAL Chem Inds Ltd,Basic Materials,Europe,United Kingdom,Lower Medium Grade
ALCLCT,Alcatel Lucent,Technology,Europe,France,Lower Medium Grade
ALINDR,Alliander NV,Utilities,Europe,Netherlands,High Grade
ALPHBK,ALPHA Bk AE,Financials,Europe,Greece,Lower Medium Grade
ALSTOM,ALSTOM,Industrials,Europe,France,Lower Medium Grade
ALT,ALTADIS SA,Consumer Goods,Europe,Spain,Lower Medium Grade
ALYD,ALLIED DOMECQ LTD,Consumer Goods,Europe,United Kingdom,Lower Medium Grade
ALZSE,Allianz SE,Financials,Europe,Germany,High Grade
AMROBK,ABN AMRO Bk NV,Financials,Europe,Netherlands,Upper Medium Grade
ANGLIA,Nationwide Bldg Soc,Financials,Europe,United Kingdom,Upper Medium Grade
ARMLL,ArcelorMittal,Basic Materials,Europe,Luxembourg,Lower Medium Grade
ARMLL-FRA,ARCELORMITTAL FRANCE,Basic Materials,Europe,France,Extremely Speculative
ARMLL-Fin,ArcelorMittal Fin,Basic Materials,Europe,Luxembourg,Lower Medium Grade
ASSAAB,ASSA ABLOY AB,Industrials,Europe,Sweden,Lower Medium Grade
ASSGEN,Assicurazioni Generali S p A,Financials,Europe,Italy,Lower Medium Grade
ATCOA,Atlas Copco AB,Industrials,Europe,Sweden,Upper Medium Grade
ATSPA,ATLANTIA SPA,Industrials,Europe,Italy,Lower Medium Grade
AUST,Rep Austria,Government,Europe,Austria,Lower Medium Grade
AVLN,Aviva plc,Financials,Europe,United Kingdom,Upper Medium Grade
AWLN-AngWatServ,Anglian Wtr Svcs Ltd,Utilities,Europe,United Kingdom,Lower Medium Grade
AXAF,AXA,Financials,Europe,France,Lower Medium Grade
AYLL,SAFEWAY LTD,Consumer Services,Europe,United Kingdom,Lower Medium Grade
AZN,Astrazeneca PLC,Health Care,Europe,United Kingdom,Upper Medium Grade
BAB,Brit Awys plc,Consumer Services,Europe,United Kingdom,Lower Medium Grade
BACR-Bank,Barclays Bk plc,Financials,Europe,United Kingdom,Upper Medium Grade
BACRED,Mediobanca SpA,Financials,Europe,Italy,Lower Medium Grade
BAD,EnBW Energie Baden Wuerttemberg AG,Utilities,Europe,Germany,Upper Medium Grade
BANSAB,Bco de Sabadell S A,Financials,Europe,Spain,Lower Medium Grade
BAPLC,BAE Sys PLC,Industrials,Europe,United Kingdom,Extremely Speculative
BASFSE,BASF SE,Basic Materials,Europe,Germany,Upper Medium Grade
