Ticker,ShortName,Sector,Region,Country,AverageRating
AAUK,Anglo Amern plc,Basic Materials,Europe,United Kingdom,Speculative Grade
ABE,Abertis Infraestructuras SA,Industrials,Europe,Spain,Medium Grade
ABHLTD,Alliance Boots Hldgs Ltd,Consumer Services,Europe,United Kingdom,Medium Grade
ACAFP,Cr Agricole SA,Financials,Europe,France,High Grade
ACAFP-CIB,Cr Agricole Corporate and Invt Bk,Financials,Europe,France,Medium Grade
ACCOR,ACCOR,Consumer Services,Europe,France,Medium Grade
ACEA,Acea Spa,Utilities,Europe,Italy,Medium Grade
ADIG,adidas AG,Consumer Goods,Europe,Germany,High Grade
AEGON,Aegon N.V.,Financials,Europe,Netherlands,Medium Grade
AF,AIR FRANCE - KLM,Consumer Services,Europe,France,Speculative Grade
AF-AirFrance,SOCIETE AIR FRANCE,Consumer Services,Europe,France,Speculative Grade
AGASSA,ageas SA NV,Financials,Europe,Belgium,High Grade
AGS,AGBAR,Utilities,Europe,Spain,Medium Grade
AGS-Intl,Agbar Intl BV,Utilities,Europe,Netherlands,Medium Grade
AIRLIQ,L AIR LIQUIDE SA POUR LTDE EXPLTN PROCDS GEORGS CLDE,Basic Materials,Europe,France,Medium Grade
AKZO,AKZO Nobel N V,Basic Materials,Europe,Netherlands,Medium Grade
AKZO-ICILD,IMPERIAL Chem Inds Ltd,Basic Materials,Europe,United Kingdom,Medium Grade
ALCLCT,Alcatel Lucent,Technology,Europe,France,Medium Grade
ALINDR,Alliander NV,Utilities,Europe,Netherlands,High Grade
ALPHBK,ALPHA Bk AE,Financials,Europe,Greece,Medium Grade
ALSTOM,ALSTOM,Industrials,Europe,France,Medium Grade
ALT,ALTADIS SA,Consumer Goods,Europe,Spain,Medium Grade
ALYD,ALLIED DOMECQ LTD,Consumer Goods,Europe,United Kingdom,Medium Grade
ALZSE,Allianz SE,Financials,Europe,Germany,High Grade
AMROBK,ABN AMRO Bk NV,Financials,Europe,Netherlands,High Grade
ANGLIA,Nationwide Bldg Soc,Financials,Europe,United Kingdom,High Grade
ARMLL,ArcelorMittal,Basic Materials,Europe,Luxembourg,Medium Grade
ARMLL-FRA,ARCELORMITTAL FRANCE,Basic Materials,Europe,France,Speculative Grade
ARMLL-Fin,ArcelorMittal Fin,Basic Materials,Europe,Luxembourg,Medium Grade
ASSAAB,ASSA ABLOY AB,Industrials,Europe,Sweden,Medium Grade
ASSGEN,Assicurazioni Generali S p A,Financials,Europe,Italy,Medium Grade
ATCOA,Atlas Copco AB,Industrials,Europe,Sweden,High Grade
ATSPA,ATLANTIA SPA,Industrials,Europe,Italy,Medium Grade
AUST,Rep Austria,Government,Europe,Austria,Medium Grade
AVLN,Aviva plc,Financials,Europe,United Kingdom,High Grade
AWLN-AngWatServ,Anglian Wtr Svcs Ltd,Utilities,Europe,United Kingdom,Medium Grade
AXAF,AXA,Financials,Europe,France,Medium Grade
AYLL,SAFEWAY LTD,Consumer Services,Europe,United Kingdom,Medium Grade
AZN,Astrazeneca PLC,Health Care,Europe,United Kingdom,High Grade
BAB,Brit Awys plc,Consumer Services,Europe,United Kingdom,Medium Grade
BACR-Bank,Barclays Bk plc,Financials,Europe,United Kingdom,High Grade
