Ticker,ShortName,Sector,Region,Country,AverageRating,ActualSpread,ProxyIntersection,ProxyCSRA,ProxyCSRACommunity
AAUK,Anglo Amern plc,Basic Materials,Europe,United Kingdom,14,984.6011,82.44332500000002,161.19351978146636,77.00250082183035
ABE,Abertis Infraestructuras SA,Industrials,Europe,Spain,9,112.2037,82.44332500000002,61.14164805016895,83.12415658508695
ABHLTD,Alliance Boots Hldgs Ltd,Consumer Services,Europe,United Kingdom,10,119.4848,121.60447534310819,144.1748568345838,166.2833355283735
ACAFP,Cr Agricole SA,Financials,Europe,France,5,68.0217,68.35135000000001,119.94028121403042,168.0440727783287
ACAFP-CIB,Cr Agricole Corporate and Invt Bk,Financials,Europe,France,10,65.4582,119.55356,74.5515653950443,92.05469184852625
ACCOR,ACCOR,Consumer Services,Europe,France,10,102.841,97.63869912280704,89.91345370358171,46.737660583424486
ACEA,Acea Spa,Utilities,Europe,Italy,10,87.3365,68.60575,71.60276493022171,707.2025121689152
ADIG,adidas AG,Consumer Goods,Europe,Germany,7,72.96300000000001,82.44332500000002,120.81376535814901,784.1360511776655
AEGON,Aegon N.V.,Financials,Europe,Netherlands,10,77.548,111.24590000000028,169.86545693613488,89.02177755468622
AF,AIR FRANCE - KLM,Consumer Services,Europe,France,15,396.954622406639,82.44332500000002,87.3264562082291,200.68987546114022
AF-AirFrance,SOCIETE AIR FRANCE,Consumer Services,Europe,France,17,85.2719,82.44332500000002,90.27828256631793,214.18252242342965
AGASSA,ageas SA NV,Financials,Europe,Belgium,6,74.6819,82.44332500000002,127.02268589717453,210.68829052246824
AGS,AGBAR,Utilities,Europe,Spain,10,91.8467,104.963,53.74793596430471,69.18555475043219
AGS-Intl,Agbar Intl BV,Utilities,Europe,Netherlands,10,90.806,113.68942318162641,562.502357232159,108.52357394323717
AIRLIQ,L AIR LIQUIDE SA POUR LTDE EXPLTN PROCDS GEORGS CLDE,Basic Materials,Europe,France,10,56.9506,82.44332500000002,114.46669695030552,63.455535669957364
AKZO,AKZO Nobel N V,Basic Materials,Europe,Netherlands,9,54.1216,82.44332500000002,1035.1672861341638,92.10730000000002
AKZO-ICILD,IMPERIAL Chem Inds Ltd,Basic Materials,Europe,United Kingdom,10,24.365,199.76079999999996,192.38975105218927,132.22473019097106
ALCLCT,Alcatel Lucent,Technology,Europe,France,10,55.3183790721106,82.44332500000002,123.21031063074979,314.36577709732035
ALINDR,Alliander NV,Utilities,Europe,Netherlands,3,58.4158,82.44332500000002,567.7067717249482,110.61331709858338
ALPHBK,ALPHA Bk AE,Financials,Europe,Greece,10,1618.7134,82.44332500000002,65.77557731373629,773.4083304442545
ALSTOM,ALSTOM,Industrials,Europe,France,10,107.7352,73.21105,70.79172535116739,45.11167657408164
ALT,ALTADIS SA,Consumer Goods,Europe,Spain,10,35.8205,82.44332500000002,58.78209822462878,86.25656963909229
ALYD,ALLIED DOMECQ LTD,Consumer Goods,Europe,United Kingdom,10,57.19600000000001,138.29520000000002,107.51230809150853,91.50599721228801
ALZSE,Allianz SE,Financials,Europe,Germany,3,35.20260000000001,82.44332500000002,64.05657875538672,51.05359082053528
AMROBK,ABN AMRO Bk NV,Financials,Europe,Netherlands,5,59.96320000000001,56.23650909090908,674.7056094290957,139.34413229946045
ANGLIA,Nationwide Bldg Soc,Financials,Europe,United Kingdom,6,56.6761,82.44332500000002,120.10095742486928,99.05601370030352
ARMLL,ArcelorMittal,Basic Materials,Europe,Luxembourg,9,946.2702,115.7105,1243.5068494865295,88.85639450961816
ARMLL-FRA,ARCELORMITTAL FRANCE,Basic Materials,Europe,France,17,880.2281,82.44332500000002,101.45318100011818,157.94100807585525
ARMLL-Fin,ArcelorMittal Fin,Basic Materials,Europe,Luxembourg,9,115.7105,946.2701999999999,128.6599398642408,521.1703720930008
ASSAAB,ASSA ABLOY AB,Industrials,Europe,Sweden,8,49.77210000000001,82.44332500000002,163.62607566435156,132.5067175475487
ASSGEN,Assicurazioni Generali S p A,Financials,Europe,Italy,10,95.7162,109.77293333333333,120.10951114397821,171.58847847230044
ATCOA,Atlas Copco AB,Industrials,Europe,Sweden,7,49.66670000000001,112.56610000000002,163.6312154857682,132.51476832582009
ATSPA,ATLANTIA SPA,Industrials,Europe,Italy,10,61.29899999999999,82.44332500000002,83.07992988802144,81.07099044734657
AUST,Rep Austria,Government,Europe,Austria,10,16.9388,82.44332500000002,258.10404184808607,258.10404184808607
AVLN,Aviva plc,Financials,Europe,United Kingdom,7,64.48660000000001,60.71750000000001,119.97383880551662,169.00977972729777
