Ticker,ShortName,Sector,Region,Country,AverageRating
ABE,Abertis Infraestructuras SA,Cyclical,Europe,Spain,9
ABHLTD,Alliance Boots Hldgs Ltd,Cyclical,Europe,United Kingdom,10
ACAFP,Cr Agricole SA,Financials,Europe,France,5
ACAFP-CIB,Cr Agricole Corporate and Invt Bk,Financials,Europe,France,10
ACCOR,ACCOR,Cyclical,Europe,France,10
ACEA,Acea Spa,Non Cyclical,Europe,Italy,10
ADIG,adidas AG,Non Cyclical,Europe,Germany,7
AEGON,Aegon N.V.,Financials,Europe,Netherlands,10
AGASSA,ageas SA NV,Financials,Europe,Belgium,6
AGS,AGBAR,Non Cyclical,Europe,Spain,10
AGS-Intl,Agbar Intl BV,Non Cyclical,Europe,Netherlands,10
AIRLIQ,L AIR LIQUIDE SA POUR LTDE EXPLTN PROCDS GEORGS CLDE,Cyclical,Europe,France,10
AKZO,AKZO Nobel N V,Cyclical,Europe,Netherlands,9
AKZO-ICILD,IMPERIAL Chem Inds Ltd,Cyclical,Europe,United Kingdom,10
ALINDR,Alliander NV,Non Cyclical,Europe,Netherlands,3
ALSTOM,ALSTOM,Cyclical,Europe,France,10
ALT,ALTADIS SA,Non Cyclical,Europe,Spain,10
ALYD,ALLIED DOMECQ LTD,Non Cyclical,Europe,United Kingdom,10
ALZSE,Allianz SE,Financials,Europe,Germany,3
AMROBK,ABN AMRO Bk NV,Financials,Europe,Netherlands,5
ANGLIA,Nationwide Bldg Soc,Financials,Europe,United Kingdom,6
ARMLL-Fin,ArcelorMittal Fin,Cyclical,Europe,Luxembourg,9
ASSAAB,ASSA ABLOY AB,Cyclical,Europe,Sweden,8
ASSGEN,Assicurazioni Generali S p A,Financials,Europe,Italy,10
ATCOA,Atlas Copco AB,Cyclical,Europe,Sweden,7
ATSPA,ATLANTIA SPA,Cyclical,Europe,Italy,10
AVLN,Aviva plc,Financials,Europe,United Kingdom,7
AWLN-AngWatServ,Anglian Wtr Svcs Ltd,Non Cyclical,Europe,United Kingdom,10
AXAF,AXA,Financials,Europe,France,10
AYLL,SAFEWAY LTD,Cyclical,Europe,United Kingdom,10
AZN,Astrazeneca PLC,Non Cyclical,Europe,United Kingdom,7
BAB,Brit Awys plc,Cyclical,Europe,United Kingdom,9
BACR-Bank,Barclays Bk plc,Financials,Europe,United Kingdom,7
BACRED,Mediobanca SpA,Financials,Europe,Italy,10
BAD,EnBW Energie Baden Wuerttemberg AG,Non Cyclical,Europe,Germany,7
BANSAB,Bco de Sabadell S A,Financials,Europe,Spain,10
BAPLC,BAE Sys PLC,Cyclical,Europe,United Kingdom,17
BASFSE,BASF SE,Cyclical,Europe,Germany,6
BATSLN,Brit Amern Tob plc,Non Cyclical,Europe,United Kingdom,10
BBVSM,Bco Bilbao Vizcaya Argentaria S A,Financials,Europe,Spain,7
BFCM,Bqe Federative Du Cr Mutuel,Financials,Europe,France,6
BKTSM,Bankinter S A,Financials,Europe,Spain,8
BMW,Bay Motoren Werke AG,Non Cyclical,Europe,Germany,6
BNP,BNP Paribas,Financials,Europe,France,5
BOCGP,BOC GROUP Ltd,Cyclical,Europe,United Kingdom,17
BOUY,BOUYGUES,Cyclical,Europe,France,8
BPBL,BPB Ltd,Cyclical,Europe,United Kingdom,7
BPLN,BP P.L.C.,Cyclical,Europe,United Kingdom,10
BRITEL-BritTel,Brit Telecom PLC,Cyclical,Europe,United Kingdom,1
BRITLD,Brit Ld Co plc,Financials,Europe,United Kingdom,10
BRYBDC,Carlsberg A S,Non Cyclical,Europe,Denmark,10
BRYBDC-Brew,Carlsberg Breweries A S,Non Cyclical,Europe,Denmark,1
BSFSHW,BASF Schweiz AG,Cyclical,Europe,Switzerland,10
BWGPSK,BAWAG P.S.K,Financials,Europe,Austria,10
BYIF,Bayer AG,Non Cyclical,Europe,Germany,7
BYLAN,Bay Landbk Giroz,Financials,Europe,Germany,10
CARR,Carrefour,Cyclical,Europe,France,7
CAWILD,CABLE WIRELESS LTD,Cyclical,Europe,United Kingdom,10
CCBP-NATIXI,NATIXIS,Financials,Europe,France,6
CCLL,Carnival Plc,Cyclical,Europe,United Kingdom,10
CENTRI,Centrica plc,Non Cyclical,Europe,United Kingdom,9
CLAR,Clariant AG,Cyclical,Europe,Switzerland,10
CMFP,Ciments Francais,Cyclical,Europe,France,17
CMZB,Commerzbank AG,Financials,Europe,Germany,10
CONTI,Contl AG,Non Cyclical,Europe,Germany,10
CPGLN,Compass Gp PLC,Cyclical,Europe,United Kingdom,7
CSGAG,Credit Suisse Gp Ltd,Financials,Europe,Switzerland,10
CTSGL,COLT Tech SERVICES GROUP Ltd,Cyclical,Europe,United Kingdom,10
DAA,Deutsche Apotheker Und Aerz,Financials,Europe,Germany,10
DAMLR,Daimler AG,Non Cyclical,Europe,Germany,10
DANBNK,Danske Bk A S,Financials,Europe,Denmark,6
DANONE,DANONE,Non Cyclical,Europe,France,10
DB,Deutsche Bk AG,Financials,Europe,Germany,7
DBB,Deutsche Bahn AG,Cyclical,Europe,Germany,2
DEPFA-Bank,DEPFA Bk Plc,Financials,Europe,Ireland,10
DEXO,SODEXO,Cyclical,Europe,France,10
DFHH,DEBENHAMS Fin Hldgs Ltd,Cyclical,Europe,United Kingdom,10
DIAG,Diageo PLC,Non Cyclical,Europe,United Kingdom,17
DMGOLN,Daily Mail & Gen Tr Plc,Cyclical,Europe,United Kingdom,17
DPW,Deutsche Post AG,Cyclical,Europe,Germany,6
DT,Deutsche Telekom AG,Cyclical,Europe,Germany,6
DZBK,DZ Bk AG,Financials,Europe,Germany,10
EDF,ELECTRICITE DE FRANCE,Non Cyclical,Europe,France,4
EDP,EDP Energias de Portugal SA,Non Cyclical,Europe,Portugal,10
ELEBEL,Electrabel,Non Cyclical,Europe,Belgium,7
ELESM,Endesa S A,Non Cyclical,Europe,Spain,8
ELIA,Elia Sys Operator SA NV,Non Cyclical,Europe,Belgium,10
ELIAC,Elisa Oyj,Cyclical,Europe,Finland,10
ELTLX,AB Electrolux,Non Cyclical,Europe,Sweden,17
ENDP,Empresa Nacional de Petroleo,Cyclical,Europe,Spain,10
ENEL,ENEL S p A,Non Cyclical,Europe,Italy,10
ENI,ENI S.p.A.,Cyclical,Europe,Italy,10
EON-PWGLN,POWERGEN Ltd,Non Cyclical,Europe,United Kingdom,10
EON-UK,EON UK PLC,Non Cyclical,Europe,United Kingdom,10
ERGBA,Erste Group Bk AG,Financials,Europe,Austria,6
EVRGSA,Evraz Group SA,Cyclical,Europe,Luxembourg,18
EXPGRL-EXPFIN,EXPERIAN Fin PLC,Cyclical,Europe,United Kingdom,17
F-FCEBank,FCE Bk PLC,Financials,Europe,United Kingdom,10
FERRUZ,Edison S p A,Non Cyclical,Europe,Italy,10
FGPLN,Firstgroup plc,Cyclical,Europe,United Kingdom,10
FORTUM,Fortum Oyj,Non Cyclical,Europe,Finland,9
FSEKGA,Fresenius SE & Co KGaA,Non Cyclical,Europe,Germany,7
GFCFP,Gecina,Financials,Europe,France,10
GSK,Glaxosmithkline Plc,Non Cyclical,Europe,United Kingdom,17
HAMRSN,Hammerson PLC,Financials,Europe,United Kingdom,1
HAVAS,Havas,Cyclical,Europe,France,10
HBOS,HBOS Plc,Financials,Europe,United Kingdom,17
HBOS-ScotBkPLC,Bk OF SCOTLAND PLC,Financials,Europe,United Kingdom,6
HEI,HeidelbergCement AG,Cyclical,Europe,Germany,10
HEI-HANSN,HANSON Ltd,Cyclical,Europe,United Kingdom,10
HEIANA,Heineken NV,Non Cyclical,Europe,Netherlands,7
HEIANA-SCOT,SCOTTISH & NEWCASTLE Ltd,Non Cyclical,Europe,United Kingdom,10
HENAGK,Henkel AG & Co KGaA,Cyclical,Europe,Germany,6
HESLAN,Landbk Hessen thueringen Giroz,Financials,Europe,Germany,5
HOFP,THALES,Cyclical,Europe,France,10
HSBC,HSBC Hldgs plc,Financials,Europe,United Kingdom,5
