Ticker,Intersection Variance,Intersection Community Variance,CSRA Variance,CSRA Community Variance
ABE,0.3512424895650779,0.3512424895650779,0.022903936511978654,0.045117279833131414
ABHLTD,0.055203805697011436,0.0628325401963541,0.03220407845061697,0.03903548871490419
ACAFP,0.08059787055478103,0.036533826514986954,0.07744436154014524,0.026301344182419344
ACAFP-CIB,0.23605508944104323,0.4592396388806373,0.12788314018947228,0.3105027424690567
ACCOR,0.022001778430261982,0.01602888158081123,0.023781949821567092,0.022555007972200444
ACEA,0.2844381963912625,0.09052928372885749,0.26044757848609446,0.11745583164750746
ADIG,0.14618295702068235,0.19330752116403516,0.0716874621116974,0.04365220753127199
AEGON,0.10367612564447506,0.01824336079284518,0.016582675119492973,0.015815565515074216
AGASSA,0.0340644917569747,0.0340644917569747,0.07719901261583131,0.07642504601407721
AGS,0.07762284949732484,0.07762284949732484,0.2643114008012506,0.1754778614902574
AGS-Intl,0.8257201106309687,0.8257201106309687,0.06550737997256913,0.08508618926104286
AIRLIQ,0.19929482030990495,0.16597284429222994,0.23183095741432985,0.22652000873567055
AKZO,0.13676946302445864,0.027159527293026214,0.03618284144801924,0.013168802656669924
AKZO-ICILD,1.481223575594207,1.780293728658181,0.48539399221543444,0.4576486058892603
ALINDR,0.10039913953041173,0.16465629793257788,0.04295710187360386,0.05530780096601945
ALSTOM,0.2463534967584012,0.1610369804468698,0.239090358851966,0.1890275897591962
ALT,0.16055503085305758,0.16055503085305758,0.9979397250182954,0.5430225731783531
ALYD,0.040678693429408976,0.0472405930713663,0.01926577108074929,0.019580406290422472
ALZSE,0.6588374762902807,2.3389993682546626,0.08962686727046308,0.24731299956441352
AMROBK,0.08411865769714123,0.08411865769714123,0.10229996530493629,0.16303927974790958
ANGLIA,0.050378460187353404,0.061354867164333374,0.0779143894011508,0.08153788176885933
ARMLL-Fin,0.009568512194165353,0.009568512194165353,0.032978792058577525,0.032978677050264214
ASSAAB,0.05649402847577888,0.05649402847577888,0.05357584688088175,0.03900055249431767
ASSGEN,0.10228747125866174,0.022209831121099876,0.025347827275998644,0.020573859918676343
ATCOA,0.478434871768237,0.4333215429272247,0.048525953110357956,0.03598461577074413
ATSPA,0.27536381069098315,0.13687409708300738,0.22218174570978955,0.1368695596244307
AVLN,0.018283128348287818,0.034021688733411874,0.024820004599465813,0.032170942971550216
AWLN-AngWatServ,0.03834895665367576,0.04569339656986176,0.02747012052273712,0.01938446533900736
AXAF,0.10099751997345549,0.10927907886323933,0.03393766948209843,0.021759001699464486
AYLL,1.1145545237159975,1.3569275074003075,0.6141777124678913,0.8368730742616736
AZN,0.10609371462415132,0.2550152352319868,0.13065127631291656,0.11626152693332022
BAB,0.8571855020551163,0.9762157073385169,0.4909067630728439,0.6498542035714077
BACR-Bank,0.02013999161302377,0.03893491337788254,0.05034542343566724,0.03667900108773945
BACRED,0.0356436874816692,0.022206341627076718,0.0218873799197122,0.025779798678626044
BAD,0.48641925393593644,0.5109877126490158,0.13048014593646873,0.21433769497532995
BANSAB,0.015591509062360969,0.015591509062360969,0.018302716708645948,0.0383230708107712
BAPLC,0.3039651334094363,0.15401121222124503,0.07794468917086136,0.04758730533849003
BASFSE,0.036216926941341016,0.05046529115771048,0.04290160696793868,0.05983965492034455
BATSLN,0.15340319881337072,0.09309086421459094,0.11682426173275003,0.10183535043253764
BBVSM,0.010008306044284798,0.010008306044284798,0.06703715881449554,0.004935784083128525
BFCM,0.07035881586126608,0.0692776652751165,0.07082477958477508,0.05982529553136878
BKTSM,0.035383704404489125,0.035383704404489125,0.04447926266409791,0.10105395721594207
BMW,0.0725875038931849,0.033939467802159055,0.04629335583416986,0.04371317799455646
BNP,0.039409997906686235,0.023189905270102396,0.04152636805520887,0.020287813723741825
BOCGP,1.740650875800042,3.4133008142950088,0.8308862327582759,0.8811404722211584
BOUY,0.11208641452701888,0.0620169365668959,0.09051413692936887,0.06752253571005985
BPBL,0.059146202557834295,0.2558177110019053,0.051359082549016506,0.04262547793882272
BPLN,0.20102605906396423,0.0719193252203753,0.12882189234432775,0.07347372466735441
BRITEL-BritTel,0.01182941817948768,0.013819913636926931,0.02143928694238706,0.013958146807796093
BRITLD,0.008449457284515913,0.008449457284515913,0.02029723586058567,0.021568018459218876
BRYBDC,0.15575789451883415,0.15575789451883415,0.14328723134389093,0.2003583688422844
BRYBDC-Brew,0.16270593397315167,0.16270593397315167,0.15459027669250835,0.2158059615020039
BSFSHW,8.356481637195303,2.2196073336382023,0.520584528189837,0.33529189767082296
BWGPSK,0.01132502663488516,0.01132502663488516,0.08813007602479432,0.07675343563655923
BYIF,0.17449569005335117,0.2133711430263262,0.10521694193496903,0.16990739459236978
BYLAN,0.1534853858574869,0.2186856401804729,0.07162838690638498,0.06503867609244268
CARR,0.029598238123408623,0.029598238123408623,0.04328381656787899,0.03896950609906161
CAWILD,0.03785394178837772,0.04488559455270197,0.02530204462579883,0.036599968469369006
CCBP-NATIXI,0.07409036535602766,0.19665672825699596,0.07428879644901891,0.11223320360485395
CCLL,0.4468814233812903,0.5221404242757687,0.33922907518388756,0.486738894709394
CENTRI,0.06309580696355471,0.040946349174691754,0.053904176222629364,0.05401760197485907
CLAR,0.009439027045901492,0.017575783010103676,0.021775859654325064,0.05674570843590543
CMFP,0.038171495835305866,0.038171495835305866,0.053314482820087765,0.05239753268765321
CMZB,0.07253865599220817,0.0074451721680740685,0.026977959448259998,0.008443305580517682
CONTI,0.20107732367485068,0.10222131812991263,0.0854038291252063,0.06862398780081827
CPGLN,0.18333177278799817,0.20263187836149757,0.2279983739782745,0.16622532162416193
CSGAG,0.2577247246897925,0.07777322385562309,0.021194504837586645,0.06442295265775767
CTSGL,0.019560902217975896,0.020998918123716202,0.008201668002572469,0.007767923452101764
DAA,0.03403666399965539,0.044812564210092505,0.037081597786311295,0.0225240550790952
DAMLR,0.11176908256107965,0.7012616415281031,0.06264946691567497,0.05847080771974905
DANBNK,0.11248637457742743,0.11248637457742743,0.14534013218486674,0.09772008878049876
DANONE,1.2695973481376097,1.4272944694331722,0.07272387600241753,0.07711713607437334
DB,0.08108787551182225,0.05096433685107154,0.12013319910957196,0.055417944969091956
DBB,0.2553059775246449,0.13496284250918064,1.3644366572025692,1.8610753736845693
DEPFA-Bank,0.05287179207780048,0.05287179207780048,0.05194056031476412,0.06925626010895009
DEXO,0.15771290845190686,0.12407501358011568,0.17922958603538308,0.1849246127874193
DFHH,0.02609200182840669,0.031142329555825427,0.007793546381944946,0.006448516290468078
DIAG,0.14813857596851354,0.045545011699151,0.32651042469471486,0.24857242893722123
DMGOLN,0.010653121516009112,0.018981553414680292,0.0030276785720934,0.002346752816502211
DPW,0.03864420198016622,0.03011930504336238,0.2062716143724692,0.40060534051403124
DT,0.008033275955444712,0.020865821447679754,0.041809951525873315,0.09000635472125958
DZBK,0.09025928328884285,0.126987925050036,0.0862015363933558,0.05477556337227069
EDF,0.02851059134600765,0.0742815087466927,0.0457570030701145,0.0457605721224685
EDP,0.07222941017969804,0.07222941017969804,0.08204213784709924,0.02496181889538496
ELEBEL,0.20328113406319384,0.20328113406319384,0.08215141832975986,0.07137820935627384
ELESM,0.14112764459789487,0.14112764459789487,0.0590588507028309,0.06778186095291597
ELIA,0.4838061942288808,0.4838061942288808,0.22243269919587538,0.1978369708233364
ELIAC,1.0219783661759199,0.20278940259884826,0.4430083490191936,0.20278432203426933
ELTLX,0.22808400681262886,0.16470685660384007,0.11289500245498894,0.15952557358808261
ENDP,0.2291091943344572,0.2291091943344572,0.10165687282731072,0.07698685967739748
ENEL,0.19217564578083174,0.021810385295131313,0.09197474895298768,0.025324200976394665
ENI,0.6720426000848688,1.3009509392561804,0.20850269377164887,1.3008269705615774
EON-PWGLN,0.4885829832500997,0.6076029319548059,0.17019489584180433,0.21105723751282734
EON-UK,0.4773970551831952,0.5931864287162807,0.16565207874763213,0.20519658281636416
ERGBA,0.07996589246947114,0.07996589246947114,0.3752856661054276,1.647937826661645
EVRGSA,0.010411952118497972,0.010411952118497972,0.010407428858573988,0.010407492545824744
EXPGRL-EXPFIN,0.5282232697940428,0.41913407919960977,0.12812081339257192,0.1224052566253935
F-FCEBank,0.06136217869783978,0.06136217869783978,0.04123125684449517,0.04317730443991374
FERRUZ,0.30831259022469737,0.5114474242030974,0.2514985788172887,0.46459023409510813
FGPLN,0.07917234135439438,0.09415404551756494,0.036948094659634965,0.042742954353170104
FORTUM,0.15586606803592706,0.15586606803592706,0.2537426336851062,1.7944030321201412
FSEKGA,0.09700055628103608,0.08953472511252782,0.037237581062438435,0.031691338632577566
GFCFP,0.12446912653868972,0.3208608775542354,0.0347813235375564,0.040877180229128104
GSK,0.26394086555943563,0.07409544820234834,0.16859554188451154,0.1326282642053603
HAMRSN,0.12690491788203642,0.12041851554899782,0.14812353214148466,0.15869975733722053
HAVAS,0.06393315452735321,0.1360607442927847,0.0652054954439127,0.12504562600589922
HBOS,0.22613905939629245,0.22613905939629245,0.11065603699109755,0.12199434532095602
HBOS-ScotBkPLC,0.09435408398411602,0.10342859181020064,0.1085066944887999,0.11899797737297077
HEI,0.07134404859344494,0.06996360837359532,0.025642212155918786,0.016434229304609617
HEI-HANSN,0.18800965500337521,0.1981047183990181,0.13019371119975257,0.16667233949270638
HEIANA,0.12921868946322748,0.06777561305869396,0.04160049417227957,0.025332232481279904
HEIANA-SCOT,0.059536154022281795,0.0683983627044148,0.061323972965708747,0.04643612184331514
HENAGK,0.03269949724801721,0.023085362219715275,0.3043705919741945,0.5662593348581899
HESLAN,0.13012478991930743,0.13084886602444465,0.03929714400547437,0.024230175809984964
HOFP,0.034164322345107904,0.02068103733669922,0.03293477517997312,0.022793790151382935
HSBC,0.026358365315846396,0.03886880617194334,0.041825014707744454,0.05110225179984681
HSBC-HSBCBank,0.13049115510641682,0.21621713550917124,0.2553254586716314,0.3042050132978346
IBERDU,0.1150998761209117,0.1150998761209117,0.19009421366692503,0.017435549344335863
IBERDU-Intl,0.7885253119849257,0.7885253119849257,0.07321820460967798,0.12173002473629167
