Ticker,ShortName,Sector,Region,Country
AAUK,Anglo Amern plc,Basic Materials,Europe,United Kingdom
ABE,Abertis Infraestructuras SA,Industrials,Europe,Spain
ABHLTD,Alliance Boots Hldgs Ltd,Consumer Services,Europe,United Kingdom
ACAFP,Cr Agricole SA,Financials,Europe,France
ACAFP-CIB,Cr Agricole Corporate and Invt Bk,Financials,Europe,France
ACCOR,ACCOR,Consumer Services,Europe,France
ACEA,Acea Spa,Utilities,Europe,Italy
ADIG,adidas AG,Consumer Goods,Europe,Germany
AEGON,Aegon N.V.,Financials,Europe,Netherlands
AF,AIR FRANCE - KLM,Consumer Services,Europe,France
AF-AirFrance,SOCIETE AIR FRANCE,Consumer Services,Europe,France
AGASSA,ageas SA NV,Financials,Europe,Belgium
AGS,AGBAR,Utilities,Europe,Spain
AGS-Intl,Agbar Intl BV,Utilities,Europe,Netherlands
AIRLIQ,L AIR LIQUIDE SA POUR LTDE EXPLTN PROCDS GEORGS CLDE,Basic Materials,Europe,France
AKZO,AKZO Nobel N V,Basic Materials,Europe,Netherlands
AKZO-ICILD,IMPERIAL Chem Inds Ltd,Basic Materials,Europe,United Kingdom
ALCLCT,Alcatel Lucent,Technology,Europe,France
ALINDR,Alliander NV,Utilities,Europe,Netherlands
ALPHBK,ALPHA Bk AE,Financials,Europe,Greece
ALSTOM,ALSTOM,Industrials,Europe,France
ALT,ALTADIS SA,Consumer Goods,Europe,Spain
ALYD,ALLIED DOMECQ LTD,Consumer Goods,Europe,United Kingdom
ALZSE,Allianz SE,Financials,Europe,Germany
AMROBK,ABN AMRO Bk NV,Financials,Europe,Netherlands
ANGLIA,Nationwide Bldg Soc,Financials,Europe,United Kingdom
ARMLL,ArcelorMittal,Basic Materials,Europe,Luxembourg
ARMLL-FRA,ARCELORMITTAL FRANCE,Basic Materials,Europe,France
ARMLL-Fin,ArcelorMittal Fin,Basic Materials,Europe,Luxembourg
ASSAAB,ASSA ABLOY AB,Industrials,Europe,Sweden
ASSGEN,Assicurazioni Generali S p A,Financials,Europe,Italy
ATCOA,Atlas Copco AB,Industrials,Europe,Sweden
ATSPA,ATLANTIA SPA,Industrials,Europe,Italy
AUST,Rep Austria,Government,Europe,Austria
AVLN,Aviva plc,Financials,Europe,United Kingdom
AWLN-AngWatServ,Anglian Wtr Svcs Ltd,Utilities,Europe,United Kingdom
AXAF,AXA,Financials,Europe,France
AYLL,SAFEWAY LTD,Consumer Services,Europe,United Kingdom
AZN,Astrazeneca PLC,Health Care,Europe,United Kingdom
BAB,Brit Awys plc,Consumer Services,Europe,United Kingdom
BACR-Bank,Barclays Bk plc,Financials,Europe,United Kingdom
BACRED,Mediobanca SpA,Financials,Europe,Italy
BAD,EnBW Energie Baden Wuerttemberg AG,Utilities,Europe,Germany
BANSAB,Bco de Sabadell S A,Financials,Europe,Spain
BAPLC,BAE Sys PLC,Industrials,Europe,United Kingdom
BASFSE,BASF SE,Basic Materials,Europe,Germany
BATSLN,Brit Amern Tob plc,Consumer Goods,Europe,United Kingdom
BBVSM,Bco Bilbao Vizcaya Argentaria S A,Financials,Europe,Spain
BCPN,Bco Comercial Portugues SA,Financials,Europe,Portugal
BELG,Kdom Belgium,Government,Europe,Belgium
BFCM,Bqe Federative Du Cr Mutuel,Financials,Europe,France
BKIR,Gov & Co Bk Irlnd,Financials,Europe,Ireland
BKTSM,Bankinter S A,Financials,Europe,Spain
BMW,Bay Motoren Werke AG,Consumer Goods,Europe,Germany
BNCBPI,Bco BPI SA,Financials,Europe,Portugal
BNP,BNP Paribas,Financials,Europe,France
BOCGP,BOC GROUP Ltd,Basic Materials,Europe,United Kingdom
BOUY,BOUYGUES,Industrials,Europe,France
BPBL,BPB Ltd,Industrials,Europe,United Kingdom
BPLN,BP P.L.C.,Oil & Gas,Europe,United Kingdom
BRISA,Brisa Auto Estradas de Portugal S A,Industrials,Europe,Portugal
BRITEL-BritTel,Brit Telecom PLC,Telecommunications,Europe,United Kingdom
BRITLD,Brit Ld Co plc,Financials,Europe,United Kingdom
BRYBDC,Carlsberg A S,Consumer Goods,Europe,Denmark
BRYBDC-Brew,Carlsberg Breweries A S,Consumer Goods,Europe,Denmark
BSFSHW,BASF Schweiz AG,Basic Materials,Europe,Switzerland
BWGPSK,BAWAG P.S.K,Financials,Europe,Austria
BYIF,Bayer AG,Health Care,Europe,Germany
BYLAN,Bay Landbk Giroz,Financials,Europe,Germany
CAJAME,Caja de Ahorros del Mediterraneo,Financials,Europe,Spain
CARR,Carrefour,Consumer Services,Europe,France
CAWILD,CABLE WIRELESS LTD,Telecommunications,Europe,United Kingdom
CCBP-NATIXI,NATIXIS,Financials,Europe,France
CCLL,Carnival Plc,Consumer Services,Europe,United Kingdom
CENTRI,Centrica plc,Utilities,Europe,United Kingdom
CIRINT,CIR SpA CIE Industriali Riunite,Utilities,Europe,Italy
CLAR,Clariant AG,Basic Materials,Europe,Switzerland
CMFP,Ciments Francais,Industrials,Europe,France
CMZB,Commerzbank AG,Financials,Europe,Germany
CONTI,Contl AG,Consumer Goods,Europe,Germany
CPGLN,Compass Gp PLC,Consumer Services,Europe,United Kingdom
CSGAG,Credit Suisse Gp Ltd,Financials,Europe,Switzerland
CTSGL,COLT Tech SERVICES GROUP Ltd,Telecommunications,Europe,United Kingdom
